issue,suggested_specialty,name,area,current_specialty,google_category_raw,rating,reviews,place_id
MISMATCH,قطع غيار,البابطين أوتو | AlBabtain Auto Ahmadi,شرق الأحمدي,بطاريات,متجر قطع غيار سيارات,4.9,3346,ChIJF-uGuhMHzz8RU-BMKHCjZuo
MISMATCH,قطع غيار,جلف اكسبريس للإطارات,الشويخ الصناعية,تواير وبنشر,متجر قطع غيار سيارات,4.9,2743,ChIJTROCYpObzz8Rjri6CMR4IVM
MISMATCH,قطع غيار,"AlBabtain Auto, Jahra, البابطين أوتو -الجهراء ,الكويت",الجهراء المنطقة الصناعية قطعه 1,قير وفتيس,متجر قطع غيار سيارات,5.0,2584,ChIJU7AOu6X3zz8R00n3dZH-B2A
MISMATCH,فحص فني,الضمان للفحص الفني,الشويخ الصناعية 2,كمبيوتر وتشخيص,محطة فحص سيارات,4.1,2534,ChIJRVyqTJWazz8Rcrqiu4eV2DY
MISMATCH,قطع غيار,"Al Babtain Auto, Al Faiha, البابطين أوتو – بنشر جمعية الفيحاء",الفيحاء,تواير وبنشر,متجر قطع غيار سيارات,5.0,2109,ChIJAXlxY0Kbzz8RN-kU67QzOqk
MISMATCH,قطع غيار,"AlBabtain Auto, Shuwaikh, البابطين أوتو – الشويخ، شارع الزينة",الشويخ الصناعية 2,زيوت وصيانة,متجر قطع غيار سيارات,4.9,1987,ChIJld-pg_mbzz8RSNTZc5ncMhQ
MISMATCH,وكيل,تويوتا الساير,شويخ الصناعية 1,دواسر وفرش,مورد سيارات تويوتا,4.1,1724,ChIJX4NTzZmazz8RSHdOHr7_9NU
MISMATCH,وكيل,فورد الغانم (الشويخ),شويخ الصناعية 1,كمبيوتر وتشخيص,مورد سيارات فورد,4.0,1723,ChIJbXTiQcuazz8R_D0SuqSdBAE
MISMATCH,فحص فني,شركة جبلة للفحص الفني للسيارات,الشويخ الصناعية 3,كمبيوتر وتشخيص,محطة فحص سيارات,4.4,1709,ChIJU6wcjxSbzz8RROJruJCpNa4
MISMATCH,زيوت وصيانة,"AlBabtain Auto Al Riggae Oula, البابطين أوتو - محطة الأولى للوقود - الرقعي",الرقعي,فرامل,خدمة تغيير الزيت,5.0,1452,ChIJB38fq_abzz8R8sqxebkrT44
MISMATCH,وكيل,بي ام دبليو الغانم الكويت,شويخ الصناعية 1,كمبيوتر وتشخيص,تاجر سيارات,4.3,1356,ChIJ0TRiKcyazz8RK9YWZJOzeyo
MISMATCH,قطع غيار,الشركة الأهلية لبيع قطع غيار السيارات,الفحيحيل,قير وفتيس,سوق قطع غيار السيارات,4.1,1212,ChIJsUb717MHzz8RFiL19OyOOsA
MISMATCH,قطع غيار,"AlBabtain Auto, Fahaheel, البابطين أوتو -الفحاحيل ,الكويت",الفحيحيل,بطاريات,متجر قطع غيار سيارات,4.9,1156,ChIJ_3RFhO8Hzz8RDfVOUQSv5SE
MISMATCH,وكيل,الخدمة السريعة ميتسوبيشي الملا للسيارات,الري,قير وفتيس,تاجر سيارات,4.2,1125,ChIJwZ6HUJiazz8RT48m_zxRNXw
MISMATCH,فحص فني,الضمان لفحص السيارات,الفحيحيل,ونش وسحب,محطة فحص سيارات,4.1,1115,ChIJodRi1rMHzz8RIqXVf7srytA
MISMATCH,وكيل,المُلا وبهبهاني للسيارات,الري,كمبيوتر وتشخيص,تاجر سيارات,3.8,1023,ChIJnwj4xZiazz8RPJlVSnPBgXU
MISMATCH,بودي وصبغ,الحكيمي لقطع غيار السيارات,الشويخ الصناعية 2,قطع غيار,مورد أجزاء هيكل السيارة,4.0,776,ChIJ2RS9L_mbzz8R34WWmYrAhzI
MISMATCH,فحص فني,الرمال الذهبية للفحص الفني للسيارات - أسواق القرين,غرب ابو فطيرة الحرفية,كمبيوتر وتشخيص,محطة فحص سيارات,4.0,634,ChIJ-UiIy1qgzz8RwWB_yAzHWXo
MISMATCH,وكيل,نيسان البابطين - خدمة باترول,الري,زيوت وصيانة,مورد سيارات نيسان,4.0,578,ChIJ-5mBN5qazz8RTINlRLevn4c
MISMATCH,قطع غيار,اف رود بيرفورمنس لأدوات الزينة وقطع غيار السيارات,الشويخ الصناعية 3,قير وفتيس,متجر قطع غيار سيارات,4.5,577,ChIJVVFbZLyazz8RQbyCKcdoq2E
MISMATCH,وكيل,مركز خدمة المطوع و القاضي,شويخ الصناعية 1,زيوت وصيانة,تاجر سيارات,3.4,551,ChIJmwX7qM-azz8RxC8jwuUpBwI
MISMATCH,وكيل,Mitsubishi Al Mulla Service Center & Spare Parts Ahmadi Center - مركز خدمة ميتسوبيشي الملا وقطع الغيار في الاحمدي,شرق الأحمدي,قير وفتيس,تاجر سيارات,4.9,535,ChIJgYdjt6MHzz8RE8nQo5SAeLM
MISMATCH,قطع غيار,FK Auto Parts - قطع غيار السيارات,المرقاب,بطاريات,متجر قطع غيار سيارات,4.9,465,ChIJJTWN7pqFzz8R0yuYFLT6bXQ
MISMATCH,وكيل,ABDULMOHSEN ABDULAZIZ AL BABTAIN - Nissan,شرق الأحمدي,زيوت وصيانة,تاجر سيارات,4.0,459,ChIJxx0o-f8Hzz8R_QqkyOAie7Y
MISMATCH,ميكانيكا,NO2 GARAGE,الشويخ الصناعية 3,قير وفتيس,ميكانيكي,4.9,442,ChIJD1HyC7Wbzz8Rk64cRLM0d0g
MISMATCH,إكسسوارات,شركه الفانوس لزينة السيارات,الشويخ الصناعية 1,دواسر وفرش,متجر كماليات السيارات,3.9,426,ChIJQ6XGBMeazz8Rm_vA0flo5iE
MISMATCH,قطع غيار,الملحم لخدمة السيارات,الري (قريب من الشويخ),فرامل,متجر قطع غيار سيارات,4.6,410,ChIJR_pjk5Gazz8RE0qngs1Vwe8
MISMATCH,قطع غيار,يور أوف رود,الري,دواسر وفرش,متجر قطع غيار سيارات,4.4,398,ChIJ44CQNZGazz8RbTVIG21Pg3s
MISMATCH,وكيل,AutoMAK Car Service - شركة أوتوماك للسيارات جراج الأحمدى,شرق الأحمدي,ونش وسحب,تاجر سيارات,3.9,387,ChIJKd9h_P8Hzz8Rsteb58tYRiQ
MISMATCH,قطع غيار,TOYOTA,الفحيحيل,بطاريات,متجر قطع غيار سيارات,4.4,375,ChIJ_ZgbNrIHzz8RgBBcGpFuOQc
MISMATCH,وكيل,فورد الغانم - الفحيحيل,الفحيحيل,زيوت وصيانة,تاجر سيارات,4.2,294,ChIJc-PmI1IGzz8RKigCIUJy6gQ
MISMATCH,فحص فني,الفحص الفني العارضية,العارضية 4,كمبيوتر وتشخيص,محطة فحص سيارات,4.6,256,ChIJsxJaFCqRzz8Rfs_eJcA2pUc
MISMATCH,غسيل وتلميع,EMPIRE Studio Kuwait,الري,دواسر وفرش,متجر منتجات العناية بالسيارة,4.9,250,ChIJsajUzJCazz8RUhfBometRjw
MISMATCH,وكيل,Chevrolet Alghanim Safat Service Center - Fahaheel مركز خدمة شفروليه الغانم -,الفحيحيل,قير وفتيس,مورد سيارات شيفروليه,4.0,235,ChIJJ9YgP1IGzz8R0GlagZrj5hM
MISMATCH,إكسسوارات,شركة سنغافورة لادوات زينة السيارات Singapore Car Accessories company,الشويخ الصناعية 2,دواسر وفرش,متجر كماليات السيارات,3.8,233,ChIJuV10I8eazz8RcFIlcQ8DszU
MISMATCH,قطع غيار,شارع الزينه صحه- الشويخ الصناعية,الشويخ الصناعية 1,دواسر وفرش,متجر قطع غيار سيارات,4.1,218,ChIJl1gGsYebzz8Rcvrn4D0SdLk
MISMATCH,فحص فني,شركة نيشان للفحص الفني للسيارات,الشويخ الصناعية,كمبيوتر وتشخيص,محطة فحص سيارات,3.9,205,ChIJNQIUaZaazz8RUGibna7JkEQ
MISMATCH,إكسسوارات,شركة كلين اند بروتكشن لتلميع ووقاية السيارات,الشويخ الصناعية 2,غسيل وتلميع,متجر كماليات السيارات,4.9,202,ChIJ5aP41GKbzz8REiqK7ZQfQN0
MISMATCH,كهرباء سيارات,كهرباء وبنشر جمعية مبارك الكبير,فنيطيس,تواير وبنشر,خدمة كهرباء سيارات,3.8,198,ChIJ6clFF3EKzz8RJ4vd4vbZUhs
MISMATCH,قطع غيار,كراج العارضية لاعمال السكراب,الكويت,قير وفتيس,سوق قطع غيار السيارات,3.8,182,ChIJ4fpKb7QJ0D8RXU5Tsn9hn80
MISMATCH,قطع غيار,Boost Auto Parts,الشويخ الصناعية 3,قير وفتيس,متجر قطع غيار سيارات,4.7,176,ChIJcZtmQ7yazz8RqR3GmuJldUA
MISMATCH,قطع غيار,UNDERGROUND RACING -UGR,الشويخ الصناعية,كمبيوتر وتشخيص,متجر قطع غيار سيارات,4.4,169,ChIJhanvO7-azz8RlUH7x2lJ0xM
MISMATCH,وكيل,شركة الخالد للسيارات,الشويخ الصناعية,إكسسوارات,تاجر سيارات,3.5,161,ChIJ54u1q8ebzz8RFF-FDFb1mQY
MISMATCH,إكسسوارات,بن دوسر اوتوموتويڤ,الري,دواسر وفرش,متجر كماليات السيارات,4.8,158,ChIJbdRK43ubzz8RgPA2lNs68Yk
MISMATCH,إكسسوارات,مركز فل أبشن للعناية بالسيارات,الشويخ الصناعية 3,دواسر وفرش,متجر كماليات السيارات,4.8,153,ChIJB6lezIebzz8RWJkENk4XvMs
MISMATCH,وكيل,Motorgy-The smarter way to buy & sell cars in Kuwait,المرقاب,دواسر وفرش,تاجر سيارات مستعملة,4.3,148,ChIJwWQTQf-bzz8R4mQrvZfe0Dk
MISMATCH,ميكانيكا,بنشر جمعية النعيم,الجهراء،,تواير وبنشر,ورشة ميكانيكا سيارات,3.8,132,ChIJfURtSf31zz8Rse9z2PqnqPA
MISMATCH,إكسسوارات,شركه البرق الدوليه لادوات زينه السيارات ALBARQ,الشويخ الصناعية 1,دواسر وفرش,متجر كماليات السيارات,3.8,123,ChIJuy7k38aazz8ReIRDgHcLlHo
MISMATCH,قطع غيار,سكراب اوتو بارتس السالمي الكويت,الكويت,قير وفتيس,متجر قطع غيار سيارات,3.9,119,ChIJ1ZO6hrYJ0D8ROW_T2YPVn1A
MISMATCH,قطع غيار,شركه قريه الزيوت العالميه لقطع غيار السيارات وتوابعها,الشويخ الصناعية 3,زيوت وصيانة,سوق قطع غيار السيارات,4.3,118,ChIJz5m6rNKbzz8RLH8C6FBF2zk
MISMATCH,ميكانيكا,كراج الباخرة الشويخ,الشويخ الصناعية 1,قير وفتيس,ورشة ميكانيكا سيارات,4.1,117,ChIJWRbo_USbzz8R2kmB6rj_eGo
MISMATCH,قطع غيار,علمدار - قطع الفحيحيل,الفحيحيل,بطاريات,متجر قطع غيار سيارات,4.0,115,ChIJU5NTz1MGzz8RlM44nYSNEBY
MISMATCH,كهرباء سيارات,كهرباء وبنشر جمعية المنصورية,المنصورية,تواير وبنشر,خدمة كهرباء سيارات,3.8,96,ChIJJ1dJe0abzz8RpKZn-cXkN0A
MISMATCH,كمبيوتر وتشخيص,Al dabbous auto service,الشويخ الصناعية,فرامل,خدمة ضبط السيارات,4.3,93,ChIJ01072lWbzz8RrkOAWnNJPmo
MISMATCH,ميكانيكا,كهرباء الخطيب,الفروانية,بطاريات,ميكانيكي,4.3,92,ChIJjfN8r5qbzz8R4QuNZACZrfg
MISMATCH,غسيل وتلميع,كراج ويزو ديزاين,الشويخ الصناعية 1,دواسر وفرش,خدمة العناية الشاملة بالسيارة,4.7,87,ChIJlRrAIJCazz8Ra5v8mrHntCY
MISMATCH,قطع غيار,AUTO1 Parts & Accessories Shuwaikh 03,الشويخ الصناعية 3,كمبيوتر وتشخيص,متجر قطع غيار سيارات,4.1,80,ChIJf4VMyqOazz8RS-k2mNRePdk
MISMATCH,قطع غيار,شركة البديع لقطع غيار السيارات,الفحيحيل,بطاريات,متجر قطع غيار سيارات,3.9,79,ChIJjS_1lUYHzz8R84GguVL3x6s
MISMATCH,تكييف,كراج الشاطر كهرباء وتكييف وميكانيكا 💯,الشويخ الصناعية 2,كهرباء سيارات,خدمة تكييف سيارات,3.9,77,ChIJF5ZGKQCbzz8RtgimlgH2mSY
MISMATCH,تكييف,فني تكييف هندي بالكويت,الكويت,كمبيوتر وتشخيص,خدمة إصلاح تكييف الهواء,4.2,74,ChIJizc5lmebzz8RoskRh-ZIwnY
MISMATCH,قطع غيار,مركز صيانة إي سي دلكو,شرق الأحمدي,بطاريات,متجر قطع غيار سيارات,4.0,73,ChIJl0O6T_oHzz8RIauR5fLUuz8
MISMATCH,إكسسوارات,Auto Emporio By Burhani Car Accessories,الشويخ الصناعية 2,دواسر وفرش,متجر كماليات السيارات,4.1,72,ChIJC3qio76bzz8RjoF6TqVvgpw
MISMATCH,قطع غيار,Mag1 oil,الشويخ الصناعية 3,زيوت وصيانة,سوق قطع غيار السيارات,4.7,71,ChIJB4LaovObzz8RSx5E2RM_I18
MISMATCH,بطاريات,إطارات يوكوهاما الساير YOKOHAMA TIRES ALSAYER,الشويخ الصناعية 2,تواير وبنشر,متجر بطاريات سيارات,4.2,71,ChIJEx3l39abzz8RI7EaX_lDLPc
MISMATCH,كهرباء سيارات,كهرباء وبنشر المضخة,الجهراء,تواير وبنشر,خدمة كهرباء سيارات,4.0,69,ChIJ9V26L2n2zz8RGd8onBVsLyg
MISMATCH,إكسسوارات,شركة بريمرى أوتو التجارية,شويخ الصناعية 3,دواسر وفرش,متجر كماليات السيارات,4.8,65,ChIJu_jc772azz8RwoQvoQE2ihQ
MISMATCH,كمبيوتر وتشخيص,B-TUNE Performance & Tuning,الشويخ الصناعية,إكسسوارات,خدمة ضبط السيارات,4.7,64,ChIJhV1IBL-azz8R77VvdXxrpQs
