confidence,recommended_specialty,source,current_specialty,changed,google_category_raw,name,area,rating,reviews,place_id
HIGH,إكسسوارات,google_category,إكسسوارات,,متجر كماليات السيارات,المهلب لزينة السيارات,الشويخ الصناعية 1,3.7,946,ChIJ105becGazz8RVmIl46MLYUg
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,شركه الفانوس لزينة السيارات,الشويخ الصناعية 1,3.9,426,ChIJQ6XGBMeazz8Rm_vA0flo5iE
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,شركة سنغافورة لادوات زينة السيارات Singapore Car Accessories company,الشويخ الصناعية 2,3.8,233,ChIJuV10I8eazz8RcFIlcQ8DszU
HIGH,إكسسوارات,google_category,غسيل وتلميع,YES,متجر كماليات السيارات,شركة كلين اند بروتكشن لتلميع ووقاية السيارات,الشويخ الصناعية 2,4.9,202,ChIJ5aP41GKbzz8REiqK7ZQfQN0
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,مركز فل أبشن للعناية بالسيارات,الشويخ الصناعية 3,4.8,153,ChIJB6lezIebzz8RWJkENk4XvMs
HIGH,إكسسوارات,google_category,إكسسوارات,,متجر كماليات السيارات,كويت ليدز Q8LEDs,الشويخ الصناعية 2,4.2,137,ChIJv3yYuMybzz8RPBoH9oCfr8I
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,شركه البرق الدوليه لادوات زينه السيارات ALBARQ,الشويخ الصناعية 1,3.8,123,ChIJuy7k38aazz8ReIRDgHcLlHo
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,Auto Emporio By Burhani Car Accessories,الشويخ الصناعية 2,4.1,72,ChIJC3qio76bzz8RjoF6TqVvgpw
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,CAR Zeena Center,الشويخ الصناعية,4.3,52,ChIJzRjWQcGazz8RiCQLswwWibY
HIGH,إكسسوارات,google_category,إكسسوارات,,متجر كماليات السيارات,مايكل للتغييم,الشويخ الصناعية 3,4.1,44,ChIJ_XmiO8eazz8R1DKPm7CYcvg
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,Epic Overland ايبك اوفرلاند,الري (قريب من الشويخ),4.1,39,ChIJEXJnLgFVxT8RLbNzRH9H2yI
HIGH,إكسسوارات,google_category,إكسسوارات,,متجر كماليات السيارات,شركة الرجيب والرفاعي السيارات,الشويخ الصناعية 3,4.2,28,ChIJLX32roibzz8RmxGLQoAQ_xI
HIGH,إكسسوارات,google_category,إكسسوارات,,متجر كماليات السيارات,الاسطورة لزينة السيارات,الشويخ,4.5,25,ChIJqdUA2E2bzz8R4H14zxXXPvA
HIGH,إكسسوارات,google_category,تظليل وزجاج,YES,متجر كماليات السيارات,جي تي ايه لحماية و تظليل السيارات,الري (قريب من الشويخ),4.5,24,ChIJhVs5Rx-bzz8RtgVahlln-fc
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,شركة دبليو اف لزينه السيارات WF,الشويخ الصناعية 2,4.3,24,ChIJ4ZRQ-LWbzz8RDECRk-Bu_Wo
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,متجر كماليات السيارات,باكستان العالمية لتنجيد مقاعد السيارات والاكسسوات,الشويخ الصناعية 1,4.1,22,ChIJDZQASMGazz8Rjq6VC9L4PLc
HIGH,إكسسوارات,google_category,دواسر وفرش,YES,تاجر جملة اكسسوارات سيارات,شركة محمد يوسف لتنجيد مقاعد و زينة السيارات,الشويخ الصناعية 3,4.3,19,ChIJRSPEgb-azz8RGxfuF7UhYik
HIGH,إكسسوارات,google_category,إكسسوارات,,متجر كماليات السيارات,FNOON AL SHUWAIKH فنون الشویخ زينة السيارات,الشويخ الصناعية 3,4.9,17,ChIJTcK-2Fabzz8RUHIbOO_ls0g
HIGH,إكسسوارات,google_category,إكسسوارات,,تاجر جملة اكسسوارات سيارات,ريد لاين لزينة السيارات,الشويخ الصناعية 2,4.1,14,ChIJ17-bGwCbzz8Rn9H6G6HMLCE
HIGH,إكسسوارات,google_category,إكسسوارات,,تاجر جملة اكسسوارات سيارات,زينة سيارات الشركة الصينيةالعالمية,الشويخ الصناعية 2,4.5,12,ChIJOTg7lIWbzz8RFxop_vP8LGw
HIGH,إكسسوارات,google_category,تظليل وزجاج,YES,متجر كماليات السيارات,مركز الشعاع لحماية وتظليل السيارات,الشويخ الصناعية,3.8,12,ChIJtbg9TO2bzz8RDzxkG8zySl8
